"Time (ms)";"Recording (a.u.)"
4.571839842E2;-4.663228248E-2
4.572048184E2;-4.977568896E-2
4.572256525E2;-5.230872524E-2
4.572464866E2;-5.386516923E-2
4.572673207E2;-5.410931730E-2
4.572881549E2;-5.359050264E-2
4.573089890E2;-5.209509568E-2
4.573298231E2;-4.998931852E-2
4.573506572E2;-4.773094882E-2
4.573714913E2;-4.510635701E-2
4.573923255E2;-4.239020966E-2
4.574131596E2;-3.939939573E-2
4.574339937E2;-3.616443373E-2
4.574548278E2;-3.295999023E-2
4.574756620E2;-3.036591693E-2
4.574964961E2;-2.859584338E-2
4.575173302E2;-2.743614002E-2
4.575381643E2;-2.728354747E-2
4.575589984E2;-2.798547319E-2
4.575798326E2;-2.929776910E-2
4.576006667E2;-3.048799097E-2
4.576215008E2;-3.158665731E-2
4.576423349E2;-3.286843471E-2
4.576631691E2;-3.378398999E-2
4.576840032E2;-3.448591571E-2
4.577048373E2;-3.466902676E-2
4.577256714E2;-3.418073061E-2
4.577465055E2;-3.280739769E-2
4.577673397E2;-2.990813929E-2
4.577881738E2;-2.554399243E-2
4.578090079E2;-2.026429029E-2
4.578298420E2;-1.483199561E-2
4.578506762E2;-9.704886013E-3
4.578715103E2;-4.791405988E-3
4.578923444E2;-7.629627369E-4
4.579131785E2;2.319406720E-3
4.579340127E2;4.150517289E-3
4.579548468E2;5.279702139E-3
4.579756809E2;5.401776177E-3
4.579965150E2;4.547257912E-3
4.580173491E2;3.448591571E-3
4.580381833E2;1.861629078E-3
4.580590174E2;5.493331706E-4
4.580798515E2;-5.493331706E-4
4.581006856E2;-9.155552843E-4
4.581215198E2;-6.408886990E-4
4.581423539E2;-3.051850948E-5
4.581631880E2;6.714072085E-4
4.581840221E2;1.098666341E-3
4.582048562E2;1.525925474E-3
4.582256904E2;2.136295663E-3
4.582465245E2;3.509628590E-3
4.582673586E2;5.706961272E-3
4.582881927E2;8.941923276E-3
4.583090269E2;1.336710715E-2
4.583298610E2;1.797540208E-2
4.583506951E2;2.252265999E-2
4.583715292E2;2.639851070E-2
4.583923633E2;2.905362102E-2
4.584131975E2;3.051850948E-2
4.584340316E2;3.103732414E-2
4.584548657E2;3.051850948E-2
4.584756998E2;2.948088015E-2
4.584965340E2;2.798547319E-2
4.585173681E2;2.642902921E-2
4.585382022E2;2.444532609E-2
4.585590363E2;2.325510422E-2
4.585798704E2;2.258369701E-2
4.586007046E2;2.233954894E-2
4.586215387E2;2.282784509E-2
4.586423728E2;2.331614124E-2
4.586632069E2;2.407910398E-2
4.586840411E2;2.407910398E-2
4.587048752E2;2.346873379E-2
4.587257093E2;2.200384533E-2
4.587465434E2;2.038636433E-2
4.587673776E2;1.928769799E-2
4.587882117E2;1.809747612E-2
4.588090458E2;1.770073550E-2
4.588298799E2;1.770073550E-2
4.588507140E2;1.782280953E-2
4.588715482E2;1.800592059E-2
4.588923823E2;1.776177252E-2
4.589132164E2;1.693777276E-2
4.589340505E2;1.553392132E-2
4.589548847E2;1.413006989E-2
4.589757188E2;1.257362590E-2
4.589965529E2;1.086458937E-2
4.590173870E2;9.613330485E-3
4.590382211E2;8.117923521E-3
4.590590553E2;6.347849971E-3
4.590798894E2;4.760887478E-3
4.591007235E2;2.685628834E-3
4.591215576E2;9.155552843E-4
4.591423918E2;-7.629627369E-4
4.591632259E2;-2.075258644E-3
4.591840600E2;-3.997924741E-3
4.592048941E2;-6.134220405E-3
4.592257282E2;-8.575701163E-3
4.592465624E2;-1.156651509E-2
4.592673965E2;-1.413006989E-2
4.592882306E2;-1.632740257E-2
4.593090647E2;-1.736503189E-2
4.593298989E2;-1.770073550E-2
4.593507330E2;-1.705984680E-2
4.593715671E2;-1.550340281E-2
4.593924012E2;-1.425214393E-2
4.594132353E2;-1.284829249E-2
4.594340695E2;-1.156651509E-2
4.594549036E2;-9.979552599E-3
4.594757377E2;-8.148442030E-3
4.594965718E2;-6.622516556E-3
4.595174060E2;-4.699850459E-3
4.595382401E2;-3.692739647E-3
4.595590742E2;-3.112887967E-3
4.595799083E2;-3.601184118E-3
4.596007425E2;-5.157628101E-3
4.596215766E2;-6.897183142E-3
4.596424107E2;-9.094515824E-3
4.596632448E2;-1.095614490E-2
4.596840789E2;-1.272621845E-2
4.597049131E2;-1.409955138E-2
4.597257472E2;-1.538132878E-2
4.597465813E2;-1.623584704E-2
4.597674154E2;-1.654103214E-2
4.597882496E2;-1.614429151E-2
4.598090837E2;-1.470992157E-2
4.598299178E2;-1.245155187E-2
4.598507519E2;-9.216589862E-3
4.598715860E2;-5.645924253E-3
4.598924202E2;-2.014221625E-3
4.599132543E2;1.464888455E-3
4.599340884E2;4.638813440E-3
4.599549225E2;7.354960784E-3
4.599757567E2;9.796441542E-3
4.599965908E2;1.199377422E-2
4.600174249E2;1.382488479E-2
4.600382590E2;1.428266243E-2
4.600590931E2;1.403851436E-2
4.600799273E2;1.269569994E-2
4.601007614E2;1.065095981E-2
4.601215955E2;8.301034577E-3
4.601424296E2;5.584887234E-3
4.601632638E2;3.479110080E-3
4.601840979E2;2.410962249E-3
4.602049320E2;1.800592059E-3
4.602257661E2;2.258369701E-3
4.602466003E2;3.357036042E-3
4.602674344E2;5.157628101E-3
4.602882685E2;7.446516312E-3
4.603091026E2;1.037629322E-2
4.603299367E2;1.413006989E-2
4.603507709E2;1.818903165E-2
4.603716050E2;2.191228980E-2
4.603924391E2;2.523880734E-2
4.604132732E2;2.780236213E-2
4.604341074E2;2.935880612E-2
4.604549415E2;3.021332438E-2
4.604757756E2;3.027436140E-2
4.604966097E2;2.990813929E-2
4.605174438E2;2.945036164E-2
4.605382780E2;2.816858425E-2
4.605591121E2;2.627643666E-2
4.605799462E2;2.365184484E-2
4.606007803E2;2.035584582E-2
4.606216145E2;1.629688406E-2
4.606424486E2;1.245155187E-2
4.606632827E2;9.613330485E-3
4.606841168E2;7.782219916E-3
4.607049509E2;6.836146123E-3
4.607257851E2;6.958220161E-3
4.607466192E2;7.751701407E-3
4.607674533E2;8.819849239E-3
4.607882874E2;9.765923032E-3
4.608091216E2;1.107821894E-2
4.608299557E2;1.205481124E-2
4.608507898E2;1.284829249E-2
4.608716239E2;1.373332926E-2
4.608924580E2;1.358073672E-2
4.609132922E2;1.257362590E-2
4.609341263E2;1.098666341E-2
4.609549604E2;8.331553087E-3
4.609757945E2;5.401776177E-3
4.609966287E2;2.197332682E-3
4.610174628E2;-9.765923032E-4
4.610382969E2;-3.479110080E-3
4.610591310E2;-6.012146367E-3
4.610799652E2;-8.514664144E-3
4.611007993E2;-1.116977447E-2
4.611216334E2;-1.364177374E-2
4.611424675E2;-1.614429151E-2
4.611633016E2;-1.846369823E-2
4.611841358E2;-2.002014222E-2
4.612049699E2;-2.127140110E-2
4.612258040E2;-2.157658620E-2
4.612466381E2;-2.160710471E-2
4.612674723E2;-2.108829005E-2
4.612883064E2;-2.072206793E-2
4.613091405E2;-2.084414197E-2
4.613299746E2;-2.114932707E-2
4.613508087E2;-2.194280831E-2
4.613716429E2;-2.298043764E-2
4.613924770E2;-2.465895566E-2
4.614133111E2;-2.685628834E-2
4.614341452E2;-2.926725059E-2
4.614549794E2;-3.204443495E-2
4.614758135E2;-3.448591571E-2
4.614966476E2;-3.659169286E-2
4.615174817E2;-3.772087771E-2
4.615383158E2;-3.778191473E-2
4.615591500E2;-3.707998901E-2
4.615799841E2;-3.625598926E-2
4.616008182E2;-3.582873012E-2
4.616216523E2;-3.561510056E-2
4.616424865E2;-3.604235969E-2
4.616633206E2;-3.674428541E-2
4.616841547E2;-3.695791498E-2
4.617049888E2;-3.704947050E-2
4.617258229E2;-3.622547075E-2
4.617466571E2;-3.558458205E-2
4.617674912E2;-3.479110080E-2
4.617883253E2;-3.421124912E-2
4.618091594E2;-3.396710105E-2
4.618299936E2;-3.357036042E-2
4.618508277E2;-3.323465682E-2
4.618716618E2;-3.256324961E-2
4.618924959E2;-3.192236091E-2
4.619133301E2;-3.152562029E-2
4.619341642E2;-3.048799097E-2
4.619549983E2;-3.003021332E-2
4.619758324E2;-2.945036164E-2
4.619966665E2;-2.819910276E-2
4.620175007E2;-2.630695517E-2
4.620383348E2;-2.377391888E-2
4.620591689E2;-2.102725303E-2
4.620800030E2;-1.782280953E-2
4.621008372E2;-1.470992157E-2
4.621216713E2;-1.205481124E-2
4.621425054E2;-9.491256447E-3
4.621633395E2;-7.629627369E-3
4.621841736E2;-5.829035310E-3
4.622050078E2;-3.875850703E-3
